NAME : sw24978
COMMENT : 24978 locations in Sweden
COMMENT : Derived from National Imagery and Mapping Agency data
TYPE : TSP
DIMENSION : 24978
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 55333.3333 13316.6667
2 55333.3333 13383.3333
3 55350.0000 13233.3333
4 55350.0000 13300.0000
5 55350.0000 13350.0000
6 55350.0000 13366.6667
7 55350.0000 13416.6667
8 55366.6667 13166.6667
9 55366.6667 13300.0000
10 55366.6667 13333.3333
11 55366.6667 13350.0000
12 55366.6667 13466.6667
13 55375.0000 13083.3333
14 55383.3333 13050.0000
15 55383.3333 13083.3333
16 55383.3333 13183.3333
17 55383.3333 13200.0000
18 55383.3333 13216.6667
19 55383.3333 13250.0000
20 55383.3333 13300.0000
21 55383.3333 13333.3333
22 55383.3333 13383.3333
23 55383.3333 13416.6667
24 55383.3333 13483.3333
25 55383.3333 13550.0000
26 55383.3333 14033.3333
27 55383.3333 14066.6667
28 55383.3333 14133.3333
29 55400.0000 12833.3333
30 55400.0000 12916.6667
31 55400.0000 12966.6667
32 55400.0000 12983.3333
33 55400.0000 13066.6667
34 55400.0000 13100.0000
35 55400.0000 13183.3333
36 55400.0000 13216.6667
37 55400.0000 13250.0000
38 55400.0000 13283.3333
39 55400.0000 13300.0000
40 55400.0000 13366.6667
41 55400.0000 13383.3333
42 55400.0000 13450.0000
43 55400.0000 13600.0000
44 55400.0000 14016.6667
45 55416.6667 12850.0000
46 55416.6667 12950.0000
47 55416.6667 13016.6667
48 55416.6667 13033.3333
49 55416.6667 13083.3333
50 55416.6667 13100.0000
51 55416.6667 13133.3333
52 55416.6667 13150.0000
53 55416.6667 13233.3333
54 55416.6667 13250.0000
55 55416.6667 13366.6667
56 55416.6667 13466.6667
57 55416.6667 13500.0000
58 55416.6667 13533.3333
59 55416.6667 13566.6667
60 55416.6667 13633.3333
61 55416.6667 13716.6667
62 55416.6667 13816.6667
63 55425.0000 12966.6667
64 55433.3333 12950.0000
65 55433.3333 12966.6667
66 55433.3333 13033.3333
67 55433.3333 13066.6667
68 55433.3333 13116.6667
69 55433.3333 13183.3333
70 55433.3333 13233.3333
71 55433.3333 13266.6667
72 55433.3333 13333.3333
73 55433.3333 13350.0000
74 55433.3333 13366.6667
75 55433.3333 13533.3333
76 55433.3333 13616.6667
77 55433.3333 13666.6667
78 55433.3333 13933.3333
79 55433.3333 13966.6667
80 55433.3333 14033.3333
81 55433.3333 14050.0000
82 55433.3333 14116.6667
83 55433.3333 14133.3333
84 55433.3333 14183.3333
85 55433.3333 14233.3333
86 55441.6667 12983.3333
87 55450.0000 13033.3333
88 55450.0000 13066.6667
89 55450.0000 13116.6667
90 55450.0000 13166.6667
91 55450.0000 13183.3333
92 55450.0000 13200.0000
93 55450.0000 13216.6667
94 55450.0000 13316.6667
95 55450.0000 13383.3333
96 55450.0000 13433.3333
97 55450.0000 13483.3333
98 55450.0000 13516.6667
99 55450.0000 13566.6667
100 55450.0000 13616.6667
101 55450.0000 13650.0000
102 55450.0000 13700.0000
103 55450.0000 13800.0000
104 55450.0000 13850.0000
105 55450.0000 14016.6667
106 55450.0000 14050.0000
107 55450.0000 14066.6667
108 55450.0000 14166.6667
109 55450.0000 14250.0000
110 55450.0000 14266.6667
111 55466.6667 13016.6667
112 55466.6667 13050.0000
113 55466.6667 13100.0000
114 55466.6667 13133.3333
115 55466.6667 13216.6667
116 55466.6667 13283.3333
117 55466.6667 13433.3333
118 55466.6667 13466.6667
119 55466.6667 13500.0000
120 55466.6667 13550.0000
121 55466.6667 13583.3333
122 55466.6667 13633.3333
123 55466.6667 13750.0000
124 55466.6667 13816.6667
125 55466.6667 13866.6667
126 55466.6667 13933.3333
127 55466.6667 13950.0000
128 55466.6667 14100.0000
129 55466.6667 14183.3333
130 55466.6667 14250.0000
131 55466.6667 14283.3333
132 55483.3333 13016.6667
133 55483.3333 13050.0000
134 55483.3333 13116.6667
135 55483.3333 13600.0000
136 55483.3333 13650.0000
137 55483.3333 13716.6667
138 55483.3333 13850.0000
139 55483.3333 13916.6667
140 55483.3333 13933.3333
141 55483.3333 14100.0000
142 55483.3333 14150.0000
143 55483.3333 14200.0000
144 55483.3333 14216.6667
145 55483.3333 14233.3333
146 55483.3333 14300.0000
147 55500.0000 12950.0000
148 55500.0000 12958.3333
149 55500.0000 12983.3333
150 55500.0000 13100.0000
151 55500.0000 13150.0000
152 55500.0000 13183.3333
153 55500.0000 13200.0000
154 55500.0000 13233.3333
155 55500.0000 13333.3333
156 55500.0000 13450.0000
157 55500.0000 13516.6667
158 55500.0000 13666.6667
159 55500.0000 13750.0000
160 55500.0000 13783.3333
161 55500.0000 13800.0000
162 55500.0000 13933.3333
163 55500.0000 13950.0000
164 55500.0000 14000.0000
165 55500.0000 14033.3333
166 55500.0000 14150.0000
167 55500.0000 14200.0000
168 55500.0000 14216.6667
169 55500.0000 14250.0000
170 55500.0000 14283.3333
171 55516.6667 13000.0000
172 55516.6667 13083.3333
173 55516.6667 13133.3333
174 55516.6667 13183.3333
175 55516.6667 13550.0000
176 55516.6667 13666.6667
177 55516.6667 13900.0000
178 55516.6667 14000.0000
179 55516.6667 14033.3333
180 55516.6667 14100.0000
181 55516.6667 14233.3333
182 55516.6667 14283.3333
183 55516.6667 14300.0000
184 55516.6667 14350.0000
185 55533.3333 12766.6667
186 55533.3333 12916.6667
187 55533.3333 12966.6667
188 55533.3333 12983.3333
189 55533.3333 13016.6667
190 55533.3333 13033.3333
191 55533.3333 13066.6667
192 55533.3333 13100.0000
193 55533.3333 13116.6667
194 55533.3333 13433.3333
195 55533.3333 13833.3333
196 55533.3333 13983.3333
197 55533.3333 14033.3333
198 55533.3333 14183.3333
199 55533.3333 14233.3333
200 55533.3333 14266.6667
201 55533.3333 14300.0000
202 55533.3333 14333.3333
203 55533.3333 14350.0000
204 55541.6667 12916.6667
205 55550.0000 12966.6667
206 55550.0000 13150.0000
207 55550.0000 13266.6667
208 55550.0000 13850.0000
209 55550.0000 13883.3333
210 55550.0000 13950.0000
211 55550.0000 14033.3333
